Name,Number,Designation,PackedDesignation,DiscoveryDesignation,ObserverDesignation,Discovery,LostDiscovery,Orbit,Principal,Comment,NEO
2011 YB49,411695,2011 YB49,K11Y49B,2011 YB49,OGS2490,1,1,Numbered object,1, , 
2012 BO78,333157,2012 BO78,K12B78O,2012 BO78,OGS2532,1,1,Numbered object,1, , 
2011 UZ11, ,2011 UZ11,K13A88T,2013 AT88,OGS5338,1,1,4 opps, 2011-2015 (MPO342266), , , 
2000 WY10,398896,2000 WY10,K13CB7G,2013 CG117,OGS5949,1,1,Numbered object,1, , 
2014 MZ42, ,2014 MZ42,K14M42Z,2014 MZ42,OGS7764,1, ,3 opps, 2001-2014 (MPO317933),1, , 
2016 LV66, ,2016 LV66,K16L66V,2016 LV66,TG63148,1, , , , , 
2016 LW66, ,2016 LW66,K16L66W,2016 LW66,TG63176,1, , , , , 
2016 NA18, ,2016 NA18,K16N18A,2016 NA18,OG12359,1, , , , , 
2016 WF48, ,2016 WF48,K16W48F,2016 WF48,OG12691,1, , , , , 
2017 BH34, ,2017 BH34,K17B34H,2017 BH34,OG13079,1, , , , , 
2017 BJ34, ,2017 BJ34,K17B34J,2017 BJ34,OG13078,1, , , , , 
2017 BK34, ,2017 BK34,K17B34K,2017 BK34,OG13076,1, , , , , 
2017 BL34, ,2017 BL34,K17B34L,2017 BL34,OG13074,1, , , , , 
2017 BM34, ,2017 BM34,K17B34M,2017 BM34,OG13048,1, , , , , 
2017 BN34, ,2017 BN34,K17B34N,2017 BN34,OG13025,1, , , , , 
2017 BO34, ,2017 BO34,K17B34O,2017 BO34,OG13039,1, , , , , 
2017 BR34, ,2017 BR34,K17B34R,2017 BR34,OG13030,1, , , , , 
2017 BS34, ,2017 BS34,K17B34S,2017 BS34,OG13054,1, , , , , 
2017 BU34, ,2017 BU34,K17B34U,2017 BU34,OG13055,1, , , , , 
2017 BQ35, ,2017 BQ35,K17B35Q,2017 BQ35,OG13090,1, , , , , 
2017 BS35, ,2017 BS35,K17B35S,2017 BS35,OG13099,1, , , , , 
