SohasDesignation,Asteroid,AutoDetected,Confirmed,ConfirmedAt,ConfirmedBy,Comment
OG20993,,,1,2020-12-14 16:46:22,Michal Biesiada,
OG20992,,,1,2020-12-14 16:31:20,Michal Biesiada,
OG20991,,,1,2020-12-14 16:24:02,Michal Biesiada,
OG20979,,,1,2020-12-13 18:35:47,Michal Biesiada,
OG20978,,,1,2020-12-13 18:35:21,Michal Biesiada,
OG20977,,,1,2020-12-13 18:19:36,Michal Biesiada,
OG20976,,,1,2020-12-13 17:13:16,Michal Biesiada,
OG20975,,,1,2020-12-13 17:00:27,Michal Biesiada,
OG20974,,,1,2020-12-13 16:33:49,Michal Biesiada,
OG20973,,,1,2020-12-13 16:30:14,Michal Biesiada,
OG20971,,,1,2020-12-13 15:49:07,Michal Biesiada,
OG20969,,,1,2020-12-13 15:39:05,Michal Biesiada,
OG20968,,,1,2020-12-13 15:35:33,Michal Biesiada,
OG20967,,,1,2020-12-13 15:34:05,Michal Biesiada,
OG20966,,,1,2020-12-13 15:31:47,Michal Biesiada,
OG20964,,,1,2020-12-13 15:27:38,Michal Biesiada,
OG20963,,,1,2020-12-13 15:23:59,Michal Biesiada,
OG20913,,,1,2020-11-20 17:44:25,Michal Biesiada,
OG20910,,,1,2020-11-20 16:46:40,Michal Biesiada,
OG20909,,,1,2020-11-20 16:38:54,Michal Biesiada,
OG20908,,,1,2020-11-20 16:31:28,Michal Biesiada,
OG20906,,,1,2020-11-20 16:26:54,Michal Biesiada,
OG20905,,,1,2020-11-20 16:24:22,Michal Biesiada,
OG20904,,,1,2020-11-20 16:10:52,Michal Biesiada,
OG20903,,,1,2020-11-20 16:07:07,Michal Biesiada,
OG20902,,,1,2020-11-20 16:05:16,Michal Biesiada,
OG20901,,,1,2020-11-20 16:04:53,Michal Biesiada,
OG20900,,,1,2020-11-20 16:04:04,Michal Biesiada,
OG20899,,,1,2020-11-20 16:00:43,Michal Biesiada,
OG20898,,,1,2020-11-20 15:52:59,Michal Biesiada,
OG20897,,,1,2020-11-20 15:48:48,Michal Biesiada,
OG20863,,,1,2020-11-19 18:48:00,Michal Biesiada,
OG20862,,,1,2020-11-19 18:41:24,Michal Biesiada,
OG20861,,,1,2020-11-19 18:38:23,Michal Biesiada,
OG20860,,,1,2020-11-19 18:21:56,Michal Biesiada,
OG20859,,,1,2020-11-19 18:18:51,Michal Biesiada,
OG20858,,,1,2020-11-19 18:18:15,Michal Biesiada,
OG20857,,,1,2020-11-19 18:15:29,Michal Biesiada,
OG20856,,,1,2020-11-19 18:09:03,Michal Biesiada,
OG20855,,,1,2020-11-19 18:04:42,Michal Biesiada,
OG20853,,,1,2020-11-19 17:50:36,Michal Biesiada,
OG20852,,,1,2020-11-19 17:47:22,Michal Biesiada,
OG20851,,,1,2020-11-19 17:40:54,Michal Biesiada,
OG20850,,,1,2020-11-19 17:30:55,Michal Biesiada,
OG20849,,,1,2020-11-19 17:20:42,Michal Biesiada,
OG20848,,,1,2020-11-19 17:12:14,Michal Biesiada,
OG20847,,,1,2020-11-19 17:11:51,Michal Biesiada,
OG20846,,,1,2020-11-19 16:53:38,Michal Biesiada,
OG20738,,,1,2020-09-22 23:45:54,Michal Biesiada,
OG20737,,,1,2020-09-22 23:36:08,Michal Biesiada,
OG20736,,,1,2020-09-22 23:29:44,Michal Biesiada,
OG20726,,,1,2020-09-21 20:41:17,Michal Biesiada,
OG20725,,,1,2020-09-21 20:40:24,Michal Biesiada,
OG20724,,,1,2020-09-21 20:38:41,Michal Biesiada,
OG20723,,,1,2020-09-21 20:16:19,Michal Biesiada,
OG20722,,,1,2020-09-21 19:41:48,Michal Biesiada,
OG20721,,,1,2020-09-21 19:29:14,Michal Biesiada,
OG20712,,,1,2020-09-20 20:25:33,Michal Biesiada,
OG20711,,,1,2020-09-20 20:19:02,Michal Biesiada,
OG20710,,,1,2020-09-20 20:07:27,Michal Biesiada,
OG20709,,,1,2020-09-20 20:06:18,Michal Biesiada,
OG20708,,,1,2020-09-20 19:56:20,Michal Biesiada,
OG20707,,,1,2020-09-20 19:47:49,Michal Biesiada,
OG20706,,,1,2020-09-20 19:37:09,Michal Biesiada,
OG20689,,,1,2020-09-19 15:52:32,Michal Biesiada,
OG20688,,,1,2020-09-19 15:51:49,Michal Biesiada,
OG20687,,,1,2020-09-19 15:45:50,Michal Biesiada,
OG20686,,,1,2020-09-19 15:45:28,Michal Biesiada,
OG20685,,,1,2020-09-19 15:45:03,Michal Biesiada,
OG20684,,,1,2020-09-19 15:43:56,Michal Biesiada,
OG20683,,,1,2020-09-19 15:37:33,Michal Biesiada,
