Overall Activity,Clicks,Rejected,Confirmed,Maybe,Manual,Date of update (y/m)
23449,5377,5074,224,79,6024,2024-12
22893,5109,4807,223,79,5928,2024-09
21744,4179,3899,222,58,5855,2023-04
21689,4133,3859,222,52,5852,2023-03
21605,4070,3798,222,50,5845,2023-02
21593,4070,3795,222,53,5841,2023-01
21541,4033,3761,222,50,5836,2022-11
21360,3873,3601,222,50,5829,2022-10
21192,3735,3469,222,44,5819,2022-08
21028,3637,3373,218,46,5797,2022-07
20863,3523,3261,218,44,5780,2022-06
20718,3405,3143,218,44,5771,2022-03
20664,3405,3141,218,46,5753,2021-09
20475,3354,3102,208,44,5707,2021-08
20228,3203,2952,207,44,5675,2021-06
20197,3187,2937,207,43,5670,2021-05
19970,3005,2755,207,43,5655,2021-04
19895,2945,2695,207,43,5650,2021-03
19770,2868,2619,206,43,5634,2020-12
